date,ticker,fileName,posKeywordRelevance,negKeywordRelevance,posSentimentStrength,negSentimentStrength,numberPositive,numberNegative,numberNeutral,stockDay1,stockDay5,stockDay15,indexDay1,indexDay5,indexDay15
2015-01-14,WFC,2015-01-14-Morning WFC.txt,0.6668941903174571,0.16417639876204662,0.006468592099704128,-0.00322502151982097,47,15,14,50.485,51.765,52.865,23.329,23.499,23.689
2015-01-15,BAC,2015-01-15-Morning BAC.txt,0.47284404396937413,0.38089724006841663,0.009660214978422534,-0.01565924238639551,47,38,15,15.11,15.99,16.25,23.059,23.919,24.079
2015-01-15,BLK,2015-01-15-Morning BLK.txt,0.6971040583112962,0.07713091179643775,0.009544500215342606,-0.09004063656140704,69,8,23,342.31,359.09,360.07,23.059,23.919,24.079
2015-01-15,C,2015-01-15-Morning C.txt,0.43035665291190806,0.4014727209380818,0.011694685077978724,-0.009302894615768565,43,39,18,46.64,49.43,49.35,23.059,23.919,24.079
2015-01-15,JPM,2015-01-15-Morning JPM.txt,0.4791061225342896,0.27313343872776924,0.013739712866198938,-0.01626607824427884,47,28,25,54.26,57.32,57.35,23.059,23.919,24.079
2015-01-16,GS,2015-01-16-Morning GS.txt,0.5082059068405006,0.2858053125944882,0.014852224918951737,-0.0038041580036427755,51,29,20,176.32,177.47,180.44,23.469,23.634,23.939
2015-01-16,PNC,2015-01-16-Morning PNC.txt,0.38847128422972477,0.3289631808018471,0.013830378266232046,-0.008443019374788897,41,35,24,84.22,85.49,88.99,23.469,23.634,23.939
2015-01-20,MS,2015-01-20-Morning MS.txt,0.553291624374627,0.33562114579633395,0.009975074232463734,-0.014752965424015881,53,35,12,34.44,34.4,35.8,23.289,23.469,24.109
2015-01-22,COF,2015-01-22-Afternoon COF.txt,0.5127163076803842,0.2617058739895558,0.00808179499698415,-0.013658931504608833,51,28,21,75.93,73.5,77.63,23.919,23.079,24.159
2015-01-24,BK,2015-01-24-Morning BK.txt,0.673045808141752,0.19370001848549245,0.00895359913584618,-0.02010620871269191,66,20,14,36.3,35.77,39.23,23.634,23.029,24.369
2015-01-28,ACE,2015-01-28-Morning ACE.txt,0.5352706447196923,0.2114464574212621,0.00001794522453952673,-0.018373461461699492,54,22,24,109.59,110.85,113.49,23.079,23.629,24.209
2015-01-30,SPG,2015-01-30-Morning SPG.txt,0.4386810428206686,0.22196816594881558,0.009743104115174267,-0.017693788832961157,45,24,31,196.14,198.85,190.69,22.979,24.079,24.319
2015-02-05,PRU,2015-02-05-Morning PRU.txt,0.29930546542786685,0.536364023038273,0.011600380482325789,-0.029557099702722876,6,8,3,75.73,77.85,81.1,24.079,24.159,24.319
2015-02-12,MET,2015-02-12-Morning MET.txt,0.3904491491213025,0.23730258130208373,0.003900956834879939,-0.009472911571509406,39,25,36,50.005,50.435,51.695,24.369,24.129,24.409
2015-02-13,AIG,2015-02-13-Morning AIG.txt,0.537177931742009,0.28710465117987644,0.0035228743498215195,-0.011468057100834043,55,30,15,53.965,55.075,55.735,24.299,24.319,24.159
2015-04-14,JPM,2015-04-14-Morning JPM.txt,0.48964446561615255,0.24540445934116453,0.00806719468558434,-0.012286585535273547,50,25,25,63.08,63.33,64.51,24.38,24.32,24.51
2015-04-14,WFC,2015-04-14-Morning WFC.txt,0.6054343625492938,0.15499749310835592,0.0033954528427771573,-0.01731467159478,61,16,23,53.995,54.175,55.355,24.38,24.32,24.51
2015-04-15,BAC,2015-04-15-Morning BAC.txt,0.5514454078682325,0.2753567269885038,0.006225586349923888,-0.011609720968727956,55,28,17,15.64,15.55,16.36,24.41,24.13,24.46
2015-04-15,PNC,2015-04-15-Morning PNC.txt,0.47283747473943477,0.1614903280560373,0.009083055998140112,-0.023467447835095682,50,17,33,92.05,91.07,93.3,24.41,24.13,24.46
2015-04-16,BLK,2015-04-16-Morning BLK.txt,0.6858341007626845,0.05913383460890662,0.006029907608944594,-0.07771926232817811,69,6,25,369.69,368.5,363.5,24.34,24.24,24.14
2015-04-16,C,2015-04-16-Morning C.txt,0.5556992697622597,0.278603957878143,0.006234670081326602,-0.015132475107486266,55,29,16,53.46,52.96,52.59,24.34,24.24,24.14
2015-04-16,GS,2015-04-16-Morning GS.txt,0.5659974342841494,0.16308144189992635,0.008352238634892825,-0.01722082908879992,57,16,27,197.19,197.51,195.61,24.34,24.24,24.14
2015-04-20,MS,2015-04-20-Morning MS.txt,0.6057598486717793,0.213760117518865,0.00323406927510655,-0.013077770527717091,59,22,19,36.81,37.29,37.85,24.32,24.31,24.76
2015-04-22,ACE,2015-04-22-Morning ACE.txt,0.48737367804472836,0.23813610421986792,0.0070435736503854955,-0.0019243346106518424,48,24,28,107.58,108.57,107.05,24.24,24.19,24.58
2015-04-22,BK,2015-04-22-Morning BK.txt,0.7310567886487717,0.139378124402056,0.002834504909011875,-0.02318726465055472,73,14,13,42.34,42.21,43.09,24.24,24.19,24.58
2015-04-23,COF,2015-04-23-Afternoon COF.txt,0.44076463781676883,0.15989181860911894,0.01955726365612605,-0.006424479194067108,27,8,19,79.69,79.83,84.12,24.27,24.25,24.71
2015-04-24,SPG,2015-04-24-Morning SPG.txt,0.5443161455870539,0.1599187301438812,0.006174512391997267,-0.014578490488715155,56,16,28,188.24,180.26,185.44,24.31,24.26,24.82
2015-05-01,AIG,2015-05-01-Morning AIG.txt,0.4874356474402223,0.25819066211447417,0.004069598178083213,-0.022188467583134534,50,27,23,58,59.44,60.13,24.44,24.54,24.8
2015-05-07,MET,2015-05-07-Morning MET.txt,0.3700835540032704,0.24821165717426155,0.012350184424122168,-0.012694235196061832,36,27,36,51.93,53.28,52.79,24.54,24.71,24.82
2015-05-07,PRU,2015-05-07-Morning PRU.txt,0.49541284403669705,0.21717315087548905,0.005142935376864812,-0.009540633525100341,48,22,29,84.89,85.99,85.17,24.54,24.71,24.82
